transaction_id,customer_id,account_type,transaction_time,transaction_hour,amount,payment_method,merchant_name,location,home_city,device_type,transaction_status,is_fraud,risk_score
TXN0000016,CUST00964,Current,16-06-24 8:32,8,15870.3,Debit Card,Zomato,Kolkata,Chennai,Mobile,Success,0,20
TXN0000017,CUST00750,Current,04-06-24 13:41,13,6577.26,NEFT,Flipkart,Lucknow,Pune,Tablet,Success,0,26
TXN0000018,CUST00399,Current,30-05-24 1:01,1,14410.94,Debit Card,Swiggy,Bengaluru,Bengaluru,Tablet,Success,0,23
TXN0000019,CUST01127,Salary,07-02-24 13:08,13,3344.53,Debit Card,BigBasket,Surat,Surat,Mobile,Success,0,1
TXN0000020,CUST00695,Salary,18-03-24 7:21,7,5791.95,IMPS,BigBasket,Delhi,Delhi,Tablet,Success,0,3
TXN0000021,CUST00823,Current,16-01-24 2:42,2,5851.25,IMPS,Flipkart,Kolkata,Surat,Mobile,Success,0,47
TXN0000022,CUST00971,Savings,23-08-24 10:45,10,17633.28,IMPS,BigBasket,Surat,Surat,POS Terminal,Success,0,1
TXN0000023,CUST00287,Current,01-06-24 14:36,14,2910.5,Debit Card,Myntra,Bhopal,Bhopal,Tablet,Success,0,0
TXN0000024,CUST00613,Salary,17-11-24 16:12,16,21119.36,IMPS,Hospital,Chennai,Chennai,Tablet,Success,0,0
TXN0000025,CUST01004,Savings,12-11-24 19:19,19,11079.19,Net Banking,Fuel Station,Kolkata,Lucknow,Tablet,Success,0,31
TXN0000026,CUST00225,Savings,04-12-24 16:33,16,1159.87,NEFT,Unknown Merchant,Bhopal,Bhopal,Tablet,Success,0,21
TXN0000027,CUST00055,Current,11-09-24 14:33,14,3499.05,IMPS,IRCTC,Ahmedabad,Ahmedabad,POS Terminal,Success,0,3
TXN0000028,CUST01185,Savings,20-01-24 22:39,22,441.1,IMPS,Unknown Merchant,Chennai,Chennai,Desktop,Success,0,19
TXN0000029,CUST00350,Savings,15-11-24 2:26,2,3481.95,IMPS,BigBasket,Mumbai,Mumbai,POS Terminal,Success,0,24
TXN0000030,CUST00065,Salary,08-01-24 8:30,8,287.67,IMPS,PayTM Mall,Lucknow,Lucknow,Mobile,Success,0,6
TXN0000031,CUST00858,Savings,20-03-24 4:24,4,9375.3,Credit Card,Flight Booking,Lucknow,Lucknow,POS Terminal,Success,0,22
TXN0000032,CUST00966,Savings,23-02-24 15:01,15,7027.31,Net Banking,Flight Booking,Mumbai,Mumbai,Mobile,Success,0,9
TXN0000033,CUST01149,Current,26-05-24 8:15,8,11533.95,Debit Card,Hospital,Ahmedabad,Ahmedabad,POS Terminal,Success,0,6
TXN0000034,CUST00355,Savings,17-05-24 14:11,14,1925.1,NEFT,Pharmacy,Lucknow,Lucknow,Tablet,Reversed,0,6
TXN0000035,CUST00542,Savings,05-04-24 17:43,17,4985.61,IMPS,PayTM Mall,Jaipur,Jaipur,POS Terminal,Success,0,8
TXN0000036,CUST00612,Current,30-09-24 18:09,18,3958.61,Credit Card,BookMyShow,Delhi,Delhi,Tablet,Success,0,3
TXN0000037,CUST01002,Current,05-08-24 16:07,16,4189.86,Debit Card,Uber,Pune,Pune,POS Terminal,Success,0,0
TXN0000038,CUST00561,Current,19-09-24 18:34,18,10217.42,Debit Card,Grocery Store,Pune,Pune,Mobile,Success,0,4
TXN0000039,CUST00809,Savings,17-01-24 8:05,8,4102.91,Debit Card,BookMyShow,Chennai,Chennai,Desktop,Success,0,3
TXN0000040,CUST00162,Salary,09-04-24 14:13,14,2897.51,Debit Card,Jewellery Store,Delhi,Delhi,POS Terminal,Success,0,2
TXN0000041,CUST00439,Savings,27-09-24 8:47,8,4487.47,Credit Card,Pharmacy,Mumbai,Mumbai,Tablet,Success,0,6
TXN0000042,CUST00224,Current,20-01-24 17:10,17,3993.06,IMPS,Nykaa,Hyderabad,Hyderabad,Desktop,Success,0,8
TXN0000043,CUST01088,Current,08-02-24 21:54,21,1266.43,Credit Card,Flipkart,Kolkata,Kolkata,Desktop,Success,0,3
TXN0000044,CUST00968,Salary,01-08-24 17:39,17,3162.03,UPI,Amazon,Chennai,Chennai,Desktop,Success,0,5
TXN0000045,CUST00324,Savings,09-09-24 15:27,15,6126.55,NEFT,Fuel Station,Chennai,Chennai,POS Terminal,Success,0,0
TXN0000046,CUST00589,Savings,23-01-24 23:26,23,4190.64,Debit Card,Jewellery Store,Lucknow,Lucknow,Tablet,Failed,0,10
TXN0000047,CUST00184,Savings,13-10-24 21:03,21,26221.51,Net Banking,Pharmacy,Jaipur,Jaipur,Desktop,Success,0,7
TXN0000048,CUST00077,Salary,28-12-24 16:47,16,5959.79,Credit Card,Myntra,Chennai,Chennai,POS Terminal,Success,0,4
TXN0000049,CUST00814,Savings,04-12-24 18:20,18,51163.71,NEFT,Unknown Merchant,Lucknow,Lucknow,Desktop,Success,0,20
TXN0000050,CUST00077,Salary,22-08-24 2:20,2,16621.92,UPI,Grocery Store,Pune,Chennai,Tablet,Success,0,48
TXN0000051,CUST00583,Current,26-11-24 12:27,12,14344.31,NEFT,BigBasket,Surat,Surat,POS Terminal,Success,0,8
TXN0000052,CUST00559,Savings,04-03-24 2:33,2,11712.6,Credit Card,Ola,Hyderabad,Hyderabad,Mobile,Success,0,29
TXN0000053,CUST00527,Salary,13-10-24 1:46,1,20049.6,Net Banking,Amazon,Mumbai,Mumbai,Desktop,Success,0,25
TXN0000054,CUST00605,Current,25-08-24 6:30,6,2343.1,IMPS,Myntra,Surat,Surat,Desktop,Success,0,1
TXN0000055,CUST00831,Current,04-06-24 16:02,16,1187.69,NEFT,Swiggy,Lucknow,Lucknow,Tablet,Success,0,7
TXN0000056,CUST00379,Current,29-12-24 10:31,10,6790.17,Credit Card,Ola,Hyderabad,Hyderabad,POS Terminal,Success,0,4
TXN0000057,CUST00535,Current,19-10-24 17:31,17,15193.28,NEFT,Local ATM,Lucknow,Lucknow,Desktop,Success,0,2
TXN0000058,CUST00676,Current,10-09-24 20:46,20,31597.03,Debit Card,IRCTC,Ahmedabad,Ahmedabad,Mobile,Success,0,8
TXN0000059,CUST00484,Salary,29-04-24 3:38,3,19914.98,UPI,Local ATM,Bhopal,Bhopal,Mobile,Success,0,21
TXN0000060,CUST01030,Savings,15-02-24 14:23,14,14177.33,Net Banking,Flight Booking,Jaipur,Jaipur,Tablet,Reversed,0,11
TXN0000061,CUST00605,Current,21-02-24 20:57,20,2061.74,Debit Card,Nykaa,Surat,Surat,Desktop,Success,0,9
TXN0000062,CUST00932,Savings,29-09-24 14:33,14,11007.87,Net Banking,Google Pay Merchant,Chennai,Chennai,Tablet,Success,0,12
TXN0000063,CUST00965,Savings,21-09-24 5:14,5,1627.83,IMPS,Nykaa,Mumbai,Mumbai,Desktop,Success,0,1
TXN0000064,CUST00168,Current,30-09-24 7:34,7,526.39,IMPS,Hospital,Delhi,Delhi,POS Terminal,Success,0,0
TXN0000065,CUST01156,Current,16-12-24 15:31,15,6793.97,UPI,Pharmacy,Bengaluru,Bengaluru,Mobile,Success,0,2
TXN0000066,CUST01173,Current,07-05-24 10:16,10,17612.82,IMPS,Myntra,Delhi,Delhi,Desktop,Success,0,7
TXN0000067,CUST00905,Savings,14-08-24 11:19,11,5983.46,UPI,Flight Booking,Bhopal,Bhopal,Desktop,Success,0,3
TXN0000068,CUST01046,Current,21-02-24 5:48,5,11554.98,NEFT,Local ATM,Ahmedabad,Ahmedabad,Mobile,Success,0,4
TXN0000069,CUST00936,Salary,28-06-24 13:40,13,4740.26,IMPS,Pharmacy,Hyderabad,Hyderabad,Mobile,Failed,0,18
TXN0000070,CUST00632,Current,08-04-24 19:42,19,24241.57,Net Banking,PhonePe Merchant,Ahmedabad,Ahmedabad,Mobile,Success,0,8
TXN0000071,CUST00447,Salary,13-06-24 13:08,13,84257.81,IMPS,Flipkart,Bengaluru,Bengaluru,Mobile,Failed,0,18
TXN0000072,CUST00131,Salary,28-12-24 15:25,15,1416.69,IMPS,Swiggy,Chennai,Chennai,Mobile,Success,0,5
TXN0000073,CUST00588,Current,24-10-24 10:01,10,6516.77,NEFT,BigBasket,Lucknow,Lucknow,Desktop,Success,0,6
TXN0000074,CUST00861,Current,03-12-24 17:26,17,30164.27,Debit Card,Local ATM,Ahmedabad,Ahmedabad,POS Terminal,Success,0,7
TXN0000075,CUST00774,Salary,14-09-24 0:21,0,7423.58,NEFT,Hotel Booking,Ahmedabad,Ahmedabad,Mobile,Success,0,9
TXN0000076,CUST00273,Salary,10-03-24 7:29,7,30796.92,Net Banking,Zomato,Surat,Surat,Tablet,Success,0,14
TXN0000077,CUST00805,Salary,27-03-24 11:37,11,4898.82,IMPS,Unknown Merchant,Bhopal,Bhopal,Desktop,Success,0,15
TXN0000078,CUST00047,Savings,06-10-24 6:26,6,12776.67,Debit Card,Hotel Booking,Pune,Pune,POS Terminal,Success,0,8
TXN0000079,CUST01090,Salary,27-06-24 21:20,21,3708.05,NEFT,Nykaa,Chennai,Chennai,Desktop,Success,0,1
TXN0000080,CUST00565,Current,10-11-24 8:53,8,512.02,Credit Card,Flipkart,Lucknow,Lucknow,Mobile,Success,0,2
TXN0000081,CUST00033,Salary,09-02-24 4:25,4,1496.6,Credit Card,Swiggy,Ahmedabad,Ahmedabad,Desktop,Failed,0,30
TXN0000082,CUST00915,Salary,14-10-24 14:20,14,2041.54,IMPS,Nykaa,Jaipur,Chennai,Mobile,Success,0,29
TXN0000083,CUST00480,Salary,24-02-24 10:09,10,1774.81,IMPS,Flipkart,Kolkata,Kolkata,Desktop,Success,0,2
TXN0000084,CUST00593,Salary,20-08-24 4:59,4,5062.24,Credit Card,Grocery Store,Mumbai,Mumbai,Tablet,Success,0,21
TXN0000085,CUST00657,Salary,13-09-24 9:37,9,1926.32,Credit Card,BigBasket,Delhi,Delhi,Tablet,Success,0,6
TXN0000086,CUST00847,Salary,04-08-24 4:59,4,2929.35,Debit Card,Flipkart,Kolkata,Kolkata,Tablet,Success,0,26
TXN0000087,CUST00359,Current,11-07-24 11:31,11,26584.63,Net Banking,Pharmacy,Kolkata,Pune,POS Terminal,Success,0,30
TXN0000088,CUST00781,Current,10-06-24 16:25,16,3582.97,IMPS,Flight Booking,Surat,Surat,Tablet,Success,0,9
TXN0000089,CUST00615,Salary,02-07-24 21:30,21,7196.61,NEFT,Pharmacy,Surat,Surat,Desktop,Success,0,3
TXN0000090,CUST00462,Savings,21-12-24 6:00,6,3549.99,Debit Card,Local ATM,Pune,Jaipur,Desktop,Success,0,22
TXN0000091,CUST00854,Current,04-04-24 7:36,7,18914.98,IMPS,PhonePe Merchant,Bhopal,Bhopal,Desktop,Success,0,6
TXN0000092,CUST00677,Savings,24-11-24 23:51,23,1512.47,Net Banking,Local ATM,Chennai,Chennai,Mobile,Success,0,7
TXN0000093,CUST01097,Current,14-04-24 6:14,6,1546.26,Net Banking,Flipkart,Mumbai,Mumbai,Desktop,Success,0,13
TXN0000094,CUST00081,Salary,08-10-24 7:00,7,131666.76,UPI,Grocery Store,Bengaluru,Bengaluru,Desktop,Success,0,34
TXN0000095,CUST00445,Savings,27-04-24 17:55,17,22801.17,NEFT,Ola,Mumbai,Mumbai,Desktop,Success,0,7
TXN0000096,CUST00032,Current,15-02-24 13:27,13,2420.99,Credit Card,Unknown Merchant,Hyderabad,Hyderabad,Desktop,Success,0,21
TXN0000097,CUST00981,Current,21-12-24 9:35,9,4721.64,Credit Card,PhonePe Merchant,Bengaluru,Bengaluru,Desktop,Success,0,1
TXN0000098,CUST00659,Salary,26-07-24 5:58,5,4853.31,Debit Card,Local ATM,Bengaluru,Bengaluru,POS Terminal,Failed,0,19
TXN0000099,CUST00632,Current,08-12-24 20:24,20,44924.71,Debit Card,Hospital,Ahmedabad,Ahmedabad,Tablet,Success,0,2
TXN0000100,CUST00202,Savings,21-12-24 2:10,2,1874.93,Net Banking,Ola,Hyderabad,Hyderabad,POS Terminal,Success,0,32
TXN0000101,CUST00641,Savings,01-12-24 13:51,13,4162.89,NEFT,Grocery Store,Pune,Pune,Mobile,Success,0,2
TXN0000102,CUST00299,Current,29-12-24 0:34,0,6597.09,UPI,Pharmacy,Ahmedabad,Ahmedabad,Tablet,Success,0,7
TXN0000103,CUST00856,Savings,08-05-24 2:34,2,10631.77,Debit Card,PayTM Mall,Surat,Surat,Desktop,Success,0,48
TXN0000104,CUST01167,Salary,11-09-24 5:23,5,8943.38,Credit Card,Pharmacy,Bengaluru,Bengaluru,POS Terminal,Success,0,4
TXN0000105,CUST00692,Savings,06-09-24 5:01,5,12133.67,Debit Card,Unknown Merchant,Kolkata,Kolkata,POS Terminal,Success,0,23
TXN0000106,CUST00944,Savings,24-02-24 8:30,8,4352.11,Credit Card,Myntra,Hyderabad,Hyderabad,Tablet,Success,0,9
TXN0000107,CUST01001,Salary,14-01-24 3:15,3,1214.26,Credit Card,Hospital,Jaipur,Jaipur,Mobile,Success,0,21
TXN0000108,CUST00153,Salary,09-06-24 3:46,3,9247.68,Net Banking,Amazon,Bhopal,Pune,Mobile,Success,0,47
TXN0000109,CUST00474,Savings,25-03-24 22:36,22,50145.56,UPI,Amazon,Kolkata,Kolkata,Desktop,Failed,0,10
TXN0000110,CUST00765,Salary,08-07-24 11:07,11,2973.36,UPI,Hotel Booking,Lucknow,Hyderabad,POS Terminal,Success,0,27
TXN0000111,CUST01130,Savings,24-07-24 14:31,14,13679.24,NEFT,Amazon,Mumbai,Mumbai,Mobile,Success,0,33
TXN0000112,CUST01098,Salary,11-11-24 19:10,19,1909.9,Debit Card,Hospital,Surat,Surat,Mobile,Success,0,9
TXN0000113,CUST00882,Current,22-07-24 15:37,15,24215.81,Credit Card,Zomato,Hyderabad,Ahmedabad,Mobile,Success,0,28
TXN0000114,CUST01079,Current,04-11-24 17:20,17,5169.48,Debit Card,IRCTC,Jaipur,Jaipur,Tablet,Success,0,2
TXN0000115,CUST00765,Salary,04-04-24 10:51,10,7388.26,NEFT,Grocery Store,Hyderabad,Hyderabad,POS Terminal,Success,0,4
TXN0000116,CUST00463,Salary,29-11-24 7:10,7,3996.86,Debit Card,Jewellery Store,Mumbai,Mumbai,Mobile,Success,0,8
TXN0000117,CUST00065,Salary,26-05-24 11:28,11,1899.97,UPI,PhonePe Merchant,Lucknow,Lucknow,POS Terminal,Success,0,4
TXN0000118,CUST00115,Salary,07-03-24 13:24,13,6504.2,Net Banking,Flight Booking,Pune,Lucknow,Mobile,Success,0,25
TXN0000119,CUST00679,Current,22-12-24 23:07,23,181815.42,IMPS,Hospital,Hyderabad,Surat,Mobile,Success,0,20
TXN0000120,CUST01161,Current,24-12-24 21:47,21,14373.88,NEFT,Flipkart,Kolkata,Delhi,Tablet,Success,0,23
TXN0000121,CUST01113,Savings,26-12-24 16:43,16,5179.58,IMPS,Myntra,Delhi,Delhi,Mobile,Success,0,6
TXN0000122,CUST00033,Salary,14-11-24 19:21,19,749.06,Credit Card,Flight Booking,Ahmedabad,Ahmedabad,Desktop,Success,0,6
TXN0000123,CUST00158,Salary,03-04-24 9:21,9,7881.63,Debit Card,Grocery Store,Jaipur,Jaipur,Desktop,Success,0,6
TXN0000124,CUST00797,Salary,20-10-24 10:47,10,75146.63,Net Banking,PhonePe Merchant,Hyderabad,Hyderabad,Tablet,Success,0,10
TXN0000125,CUST00161,Savings,07-02-24 22:29,22,4353.5,IMPS,Flipkart,Bhopal,Bhopal,Tablet,Success,0,0
TXN0000126,CUST00156,Current,12-01-24 12:07,12,2025.08,Debit Card,Ola,Jaipur,Jaipur,POS Terminal,Success,0,2
TXN0000127,CUST00923,Savings,02-08-24 18:41,18,89521.59,NEFT,Uber,Pune,Pune,Desktop,Success,0,4
TXN0000128,CUST00885,Savings,26-10-24 21:07,21,5078.5,Credit Card,Swiggy,Chennai,Chennai,POS Terminal,Success,0,3
TXN0000129,CUST00505,Salary,14-04-24 1:40,1,5997.94,Net Banking,Swiggy,Hyderabad,Hyderabad,Mobile,Success,0,28
TXN0000130,CUST00316,Savings,20-05-24 1:58,1,3469.86,Net Banking,Ola,Mumbai,Pune,POS Terminal,Success,0,53
TXN0000131,CUST00632,Current,09-02-24 16:51,16,92989.63,NEFT,IRCTC,Bengaluru,Ahmedabad,Tablet,Success,0,26
TXN0000132,CUST00883,Current,11-01-24 4:46,4,4486.18,NEFT,Zomato,Lucknow,Hyderabad,POS Terminal,Success,0,48
TXN0000133,CUST00191,Salary,05-01-24 19:01,19,4386.62,IMPS,PhonePe Merchant,Jaipur,Jaipur,Tablet,Success,0,6
TXN0000134,CUST00795,Salary,21-07-24 9:02,9,1542.31,UPI,Grocery Store,Delhi,Delhi,Desktop,Success,0,9
TXN0000135,CUST00780,Savings,26-04-24 22:44,22,1645.07,Credit Card,IRCTC,Hyderabad,Hyderabad,Desktop,Success,0,2
TXN0000136,CUST00299,Current,17-04-24 4:09,4,1340.6,UPI,Google Pay Merchant,Ahmedabad,Ahmedabad,Desktop,Success,0,29
TXN0000137,CUST00992,Salary,05-04-24 18:23,18,30265.35,UPI,IRCTC,Surat,Surat,Tablet,Success,0,3
TXN0000138,CUST01016,Current,11-02-24 13:03,13,39252.03,IMPS,Local ATM,Mumbai,Lucknow,Desktop,Success,0,28
TXN0000139,CUST00811,Current,19-06-24 23:10,23,91759.03,Debit Card,Ola,Lucknow,Lucknow,POS Terminal,Success,0,0
TXN0000140,CUST00279,Salary,27-09-24 0:35,0,12522.64,Debit Card,Electronics Store,Bhopal,Bhopal,Tablet,Failed,0,12
TXN0000141,CUST00644,Salary,23-04-24 4:29,4,2735.37,Credit Card,Ola,Surat,Surat,POS Terminal,Success,0,23
TXN0000142,CUST01006,Current,26-05-24 1:05,1,7988.84,IMPS,Ola,Hyderabad,Hyderabad,Desktop,Success,0,23
TXN0000143,CUST00805,Salary,18-03-24 14:16,14,2267.24,Debit Card,Grocery Store,Bhopal,Bhopal,Mobile,Success,0,6
TXN0000144,CUST01118,Current,28-06-24 6:37,6,10339.84,Credit Card,Unknown Merchant,Kolkata,Kolkata,Mobile,Success,0,18
TXN0000145,CUST00430,Current,27-01-24 20:36,20,4169.52,NEFT,Flight Booking,Bhopal,Bhopal,Tablet,Success,0,9
TXN0000146,CUST00838,Salary,02-09-24 23:07,23,1423.38,Net Banking,BigBasket,Delhi,Delhi,POS Terminal,Success,0,12
TXN0000147,CUST00518,Current,13-06-24 7:50,7,4556.68,Net Banking,Flight Booking,Delhi,Delhi,Desktop,Success,0,5
TXN0000148,CUST00152,Current,04-06-24 15:46,15,1671.03,NEFT,Grocery Store,Pune,Pune,POS Terminal,Success,0,2
TXN0000149,CUST00857,Current,29-09-24 11:42,11,2175.91,IMPS,Uber,Chennai,Chennai,Mobile,Success,0,9
TXN0000150,CUST01100,Salary,25-10-24 15:10,15,1719.82,IMPS,Zomato,Lucknow,Lucknow,Mobile,Success,0,9
TXN0000151,CUST00728,Savings,07-09-24 12:07,12,2796,Credit Card,Grocery Store,Bhopal,Bhopal,Mobile,Failed,0,15
TXN0000152,CUST00819,Current,05-01-24 2:18,2,2844.9,Debit Card,Zomato,Chennai,Hyderabad,POS Terminal,Success,0,42
TXN0000153,CUST01046,Current,25-05-24 7:02,7,5980.89,Net Banking,Local ATM,Ahmedabad,Ahmedabad,Desktop,Success,0,12
TXN0000154,CUST01025,Savings,06-07-24 11:45,11,74454.5,Credit Card,Amazon,Pune,Surat,Tablet,Success,0,26
TXN0000155,CUST00176,Salary,01-05-24 3:01,3,2205.57,UPI,Uber,Chennai,Chennai,Desktop,Success,0,24
TXN0000156,CUST00424,Savings,03-07-24 22:09,22,7722.02,IMPS,Uber,Ahmedabad,Jaipur,POS Terminal,Failed,0,31
TXN0000157,CUST00654,Salary,10-11-24 15:28,15,5703,UPI,Flipkart,Mumbai,Mumbai,Tablet,Success,0,4
TXN0000158,CUST00047,Savings,06-11-24 17:00,17,2942.08,Debit Card,Hotel Booking,Pune,Pune,Mobile,Success,0,8
TXN0000159,CUST00500,Salary,03-03-24 4:34,4,18484.5,IMPS,Pharmacy,Bhopal,Bhopal,Desktop,Success,0,24
TXN0000160,CUST00874,Current,01-09-24 13:47,13,2872.3,NEFT,PhonePe Merchant,Lucknow,Lucknow,Desktop,Success,0,2
TXN0000161,CUST00886,Salary,26-08-24 11:53,11,1579.62,NEFT,Unknown Merchant,Kolkata,Kolkata,Mobile,Success,0,21
TXN0000162,CUST00921,Savings,02-01-24 17:28,17,67834.4,IMPS,PhonePe Merchant,Jaipur,Jaipur,POS Terminal,Success,0,2
TXN0000163,CUST00422,Current,09-02-24 12:23,12,5125.91,Debit Card,Grocery Store,Delhi,Delhi,Mobile,Success,0,7
TXN0000164,CUST01100,Salary,17-03-24 12:51,12,27814.49,Credit Card,Ola,Lucknow,Lucknow,Tablet,Success,0,29
TXN0000165,CUST00538,Current,05-09-24 4:55,4,3320.68,Net Banking,Hospital,Bhopal,Bhopal,POS Terminal,Success,0,29
TXN0000166,CUST00796,Current,14-02-24 8:43,8,34810.36,IMPS,Grocery Store,Lucknow,Lucknow,POS Terminal,Success,0,5
TXN0000167,CUST00938,Savings,01-10-24 4:17,4,25891.77,IMPS,Hotel Booking,Delhi,Delhi,Desktop,Success,0,29
TXN0000168,CUST00174,Salary,15-02-24 18:33,18,1778.1,Net Banking,Ola,Bhopal,Bhopal,Desktop,Success,0,10
TXN0000169,CUST00240,Current,24-02-24 21:33,21,1280.38,Credit Card,Flight Booking,Lucknow,Lucknow,Tablet,Success,0,2
TXN0000170,CUST00857,Current,29-05-24 0:26,0,668.52,IMPS,Grocery Store,Chennai,Chennai,Desktop,Success,0,6
TXN0000171,CUST00997,Savings,05-03-24 19:17,19,13143.62,Net Banking,Pharmacy,Chennai,Chennai,Desktop,Success,0,13
TXN0000172,CUST00288,Current,28-08-24 13:19,13,18554.85,Credit Card,Local ATM,Pune,Kolkata,Tablet,Success,0,20
TXN0000173,CUST00020,Salary,12-11-24 14:21,14,3152.93,NEFT,PayTM Mall,Hyderabad,Hyderabad,Desktop,Success,0,3
TXN0000174,CUST01151,Savings,22-09-24 21:50,21,36792.81,IMPS,Google Pay Merchant,Ahmedabad,Ahmedabad,POS Terminal,Success,0,3
TXN0000175,CUST00910,Salary,07-08-24 13:53,13,3139.59,NEFT,Swiggy,Hyderabad,Chennai,Desktop,Success,0,20
TXN0000176,CUST00599,Savings,27-07-24 18:52,18,888.11,UPI,Nykaa,Lucknow,Lucknow,Tablet,Success,0,5
TXN0000177,CUST00937,Current,17-07-24 9:03,9,2055.28,IMPS,Pharmacy,Delhi,Kolkata,POS Terminal,Success,0,21
TXN0000178,CUST00549,Salary,15-11-24 11:17,11,2700.56,IMPS,Pharmacy,Bhopal,Bhopal,Tablet,Success,0,5
TXN0000179,CUST00904,Current,09-02-24 18:35,18,6028.31,IMPS,Google Pay Merchant,Surat,Surat,Desktop,Failed,0,10
TXN0000180,CUST00507,Savings,12-04-24 1:36,1,7200.56,Debit Card,Local ATM,Ahmedabad,Ahmedabad,Mobile,Success,0,29
TXN0000181,CUST00179,Salary,22-03-24 12:12,12,5072.77,NEFT,Nykaa,Jaipur,Jaipur,Mobile,Success,0,4
TXN0000182,CUST00719,Savings,27-08-24 6:56,6,2697.68,Net Banking,Myntra,Hyderabad,Pune,POS Terminal,Success,0,30
TXN0000183,CUST00424,Savings,19-04-24 3:54,3,19058.17,UPI,Pharmacy,Jaipur,Jaipur,Tablet,Success,0,29
TXN0000184,CUST00345,Salary,10-08-24 10:16,10,6991.21,Debit Card,BookMyShow,Lucknow,Lucknow,Tablet,Success,0,1
TXN0000185,CUST01054,Salary,18-10-24 7:23,7,15630.85,Net Banking,BigBasket,Hyderabad,Hyderabad,Mobile,Success,0,5
TXN0000186,CUST00122,Current,02-12-24 8:26,8,26567.27,Debit Card,Flight Booking,Bengaluru,Surat,Desktop,Success,0,26
TXN0000187,CUST00660,Current,25-02-24 5:08,5,5725.48,Credit Card,Fuel Station,Ahmedabad,Ahmedabad,POS Terminal,Success,0,0
TXN0000188,CUST00551,Salary,24-06-24 12:52,12,1613.6,Net Banking,PhonePe Merchant,Bengaluru,Mumbai,POS Terminal,Success,0,31
TXN0000189,CUST00826,Current,29-12-24 15:17,15,13880.04,IMPS,Flight Booking,Bhopal,Bhopal,Tablet,Success,0,0
TXN0000190,CUST00932,Savings,01-01-24 23:03,23,26882.07,NEFT,Grocery Store,Chennai,Chennai,Tablet,Success,0,8
TXN0000191,CUST00191,Salary,14-09-24 22:16,22,834.68,Net Banking,Jewellery Store,Jaipur,Jaipur,POS Terminal,Reversed,0,9
TXN0000192,CUST00130,Current,15-06-24 20:33,20,3881.85,IMPS,PayTM Mall,Jaipur,Jaipur,POS Terminal,Failed,0,15
TXN0000193,CUST01014,Salary,11-05-24 4:06,4,5278.41,Debit Card,BookMyShow,Chennai,Chennai,Tablet,Success,0,26
TXN0000194,CUST00268,Salary,13-12-24 6:07,6,11200.5,IMPS,Ola,Ahmedabad,Ahmedabad,POS Terminal,Success,0,0
TXN0000195,CUST00100,Current,31-10-24 10:22,10,2332.14,UPI,Jewellery Store,Chennai,Chennai,Mobile,Success,0,7
TXN0000196,CUST00034,Current,26-06-24 7:03,7,19522.79,UPI,Local ATM,Pune,Lucknow,Desktop,Success,0,25
TXN0000197,CUST00415,Current,27-04-24 5:35,5,8810.33,Net Banking,Jewellery Store,Jaipur,Jaipur,Desktop,Success,0,6
TXN0000198,CUST00562,Savings,02-02-24 0:12,0,4299.54,UPI,IRCTC,Delhi,Delhi,Tablet,Success,0,0
